,Exams,Percentage,Solution_code1,Solution_code2,Time_code1,Time_code2
196,30,0.0002222222222222222,1.0,,0.000465,
197,30,0.0003333333333333334,1.0,,0.000446,
198,30,0.0004444444444444444,1.0,,0.000446,
199,30,0.0005555555555555557,1.0,,0.000424,
200,30,0.0006666666666666668,1.0,,0.000449,
201,30,0.0007777777777777777,1.0,,0.000529,
202,30,0.0008888888888888888,1.0,,0.000463,
203,30,0.001,1.0,,0.0005650000000000001,
204,40,0.0,1.0,,0.000869,
205,40,0.0001111111111111111,1.0,,0.0008470000000000001,
206,40,0.0002222222222222222,1.0,,0.0008539999999999999,
207,40,0.0003333333333333334,1.0,,0.0008539999999999999,
208,40,0.0004444444444444444,1.0,,0.00085,
209,40,0.0005555555555555557,1.0,,0.000878,
210,40,0.0006666666666666668,1.0,,0.0008039999999999999,
211,40,0.0007777777777777777,1.0,,0.000825,
212,40,0.0008888888888888888,1.0,,0.0008300000000000001,
213,40,0.001,1.0,,0.000825,
214,50,0.0,1.0,,0.0013189999999999999,
215,50,0.0001111111111111111,1.0,,0.001324,
216,50,0.0002222222222222222,1.0,,0.0013039999999999998,
217,50,0.0003333333333333334,1.0,,0.0013130000000000001,
218,50,0.0004444444444444444,1.0,,0.0013109999999999999,
219,50,0.0005555555555555557,1.0,,0.001248,
220,50,0.0006666666666666668,1.0,,0.0012439999999999999,
221,50,0.0007777777777777777,2.0,,0.001295,
222,50,0.0008888888888888888,2.0,,0.001271,
223,50,0.001,2.0,,0.001425,
224,60,0.0,1.0,,0.001877,
225,60,0.0001111111111111111,1.0,,0.0018989999999999999,
226,60,0.0002222222222222222,1.0,,0.0018899999999999998,
227,60,0.0003333333333333334,1.0,,0.001887,
228,60,0.0004444444444444444,1.0,,0.001956,
229,60,0.0005555555555555557,1.0,,0.001939,
230,60,0.0006666666666666668,1.0,,0.0019149999999999998,
231,60,0.0007777777777777777,2.0,,0.001918,
232,60,0.0008888888888888888,2.0,,0.0018800000000000002,
233,60,0.001,2.0,,0.0018809999999999999,
234,70,0.0,1.0,,0.0026089999999999998,
235,70,0.0001111111111111111,1.0,,0.002448,
236,70,0.0002222222222222222,1.0,,0.002407,
237,70,0.0003333333333333334,1.0,,0.002447,
238,70,0.0004444444444444444,1.0,,0.002657,
239,70,0.0005555555555555557,1.0,,0.0026320000000000002,
240,70,0.0006666666666666668,1.0,,0.00268,
241,70,0.0007777777777777777,2.0,,0.002553,
242,70,0.0008888888888888888,2.0,,0.00252,
243,70,0.001,2.0,,0.0024010000000000004,
244,80,0.0,1.0,,0.004279,
245,80,0.0001111111111111111,2.0,,0.003525,
246,80,0.0002222222222222222,2.0,,0.0034659999999999995,
247,80,0.0003333333333333334,2.0,,0.003558,
248,80,0.0004444444444444444,2.0,,0.003408,
249,80,0.0005555555555555557,2.0,,0.003407,
250,80,0.0006666666666666668,2.0,,0.0034049999999999996,
251,80,0.0007777777777777777,2.0,,0.0034189999999999997,
252,80,0.0008888888888888888,2.0,,0.0034119999999999997,
253,80,0.001,2.0,,0.0033740000000000003,
254,90,0.0,1.0,,0.004359,
255,90,0.0001111111111111111,2.0,,0.004386999999999999,
256,90,0.0002222222222222222,2.0,,0.004776,
257,90,0.0003333333333333334,2.0,,0.004343,
258,90,0.0004444444444444444,2.0,,0.004409000000000001,
259,90,0.0005555555555555557,2.0,,0.004391,
260,90,0.0006666666666666668,2.0,,0.004124,
261,90,0.0007777777777777777,2.0,,0.00413,
262,90,0.0008888888888888888,2.0,,0.004548,
263,90,0.001,2.0,,0.004476,
264,100,0.0,1.0,,0.0056170000000000005,
265,100,0.0001111111111111111,2.0,,0.005626,
266,100,0.0002222222222222222,2.0,,0.005370000000000001,
267,100,0.0003333333333333334,2.0,,0.005306,
268,100,0.0004444444444444444,2.0,,0.005327,
269,100,0.0005555555555555557,2.0,,0.005526,
270,100,0.0006666666666666668,2.0,,0.005832,
271,100,0.0007777777777777777,2.0,,0.005432,
272,100,0.0008888888888888888,2.0,,0.005657,
273,100,0.001,2.0,,0.005202,
274,10,0.0,,2.0,,9e-06
275,10,0.00011111111111111112,,2.0,,7e-06
276,10,0.00022222222222222223,,2.0,,2e-05
277,10,0.0003333333333333334,,2.0,,7e-06
278,10,0.00044444444444444447,,2.0,,1e-05
279,10,0.0005555555555555556,,2.0,,8e-06
280,10,0.0006666666666666668,,2.0,,9e-06
281,10,0.0007777777777777778,,2.0,,9e-06
282,10,0.0008888888888888889,,2.0,,8e-06
283,10,0.001,,2.0,,7e-06
284,20,0.0,,2.0,,1.9e-05
285,20,0.00011111111111111112,,2.0,,1.8e-05
286,20,0.00022222222222222223,,2.0,,1.9e-05
287,20,0.0003333333333333334,,2.0,,1.8e-05
288,20,0.00044444444444444447,,2.0,,1.7e-05
289,20,0.0005555555555555556,,2.0,,1.7e-05
290,20,0.0006666666666666668,,2.0,,1.7e-05
291,20,0.0007777777777777778,,2.0,,1.8e-05
292,20,0.0008888888888888889,,2.0,,1.8e-05
293,20,0.001,,2.0,,1.9e-05
294,30,0.0,,2.0,,2.7e-05
295,30,0.00011111111111111112,,2.0,,2.6e-05
296,30,0.00022222222222222223,,2.0,,2.5e-05
297,30,0.0003333333333333334,,2.0,,2.4e-05
298,30,0.00044444444444444447,,2.0,,2.5e-05
299,30,0.0005555555555555556,,2.0,,2.3e-05
300,30,0.0006666666666666668,,2.0,,5.8e-05
301,30,0.0007777777777777778,,2.0,,2.6e-05
302,30,0.0008888888888888889,,2.0,,2.5e-05
303,30,0.001,,2.0,,2.6e-05
304,40,0.0,,2.0,,3.3e-05
305,40,0.00011111111111111112,,2.0,,3.5e-05
306,40,0.00022222222222222223,,2.0,,3.4e-05
307,40,0.0003333333333333334,,2.0,,3.6e-05
308,40,0.00044444444444444447,,2.0,,3.4e-05
309,40,0.0005555555555555556,,2.0,,3.6e-05
